norad,R2_sma,R2_sma_diff,R2_moyen,n_sauts,saut_median_bruit,amplitude_bruit,R2_manoeuvre,n_evalues
47491,0.9991742481954978,0.7319224490407575,0.8655483486181277,1,729.302193352448,729.302193352448,,
51085,0.9993453569707097,0.7310995355552615,0.8652224462629856,3,915.8593372564345,2631.72131999259,0.7837321758270264,3.0
66417,0.984502823297432,0.7443531692921972,0.8644279962948146,3,668793916.7022705,1608668923377.9907,-4886.30322265625,3.0
53594,0.9154182749691934,0.8130051527993686,0.864211713884281,1,1548.4222020564303,1548.4222020564303,,
54078,0.9219493030032117,0.8060276306381,0.8639884668206559,1,2144.176295438302,2144.176295438302,,
47402,0.9353744030564493,0.7908863156230892,0.8631303593397692,1,1580.697828515998,1580.697828515998,,
56972,0.9992605024066298,0.7257430227497967,0.8625017625782132,2,541.5850167235537,849.7650568095497,,
48110,0.9036528720509469,0.820080947421197,0.8618669097360719,2,967.0003730627119,1185.5032710914224,,
48281,0.9007583830556802,0.8223016546528501,0.8615300188542652,1,1260.5903045306877,1260.5903045306877,,
52474,0.9488829974478938,0.7741414142685238,0.8615122058582088,1,1647.508542063587,1647.508542063587,,
58312,0.998968454699348,0.7231832263904419,0.8610758405448949,1,1287.8196384131168,1287.8196384131168,,
56184,0.9994759178596033,0.722664279267687,0.8610700985636451,2,774.2839718877598,1207.675597208891,,
56229,0.9992250879497657,0.7228879285272288,0.8610565082384973,3,241.30443392225158,2463.942815689933,-0.9069783091545105,3.0
46285,0.999140457040094,0.7217797871932935,0.8604601221166938,2,789.6478306529312,1415.0137151506342,,
47902,0.9699687635981871,0.7487541974894962,0.8593614805438416,1,1196.7696465094123,1196.7696465094123,,
46684,0.9022689727614319,0.8158101754597087,0.8590395741105703,1,1246.2558414975472,1246.2558414975472,,
55482,0.8874700745965823,0.8295314755262442,0.8585007750614133,1,2900.6079717946463,2900.6079717946463,,
44952,0.9344102092054113,0.7810451697350634,0.8577276894702374,1,1456.0428511176858,1456.0428511176858,,
66575,0.9870175288248867,0.7282429263886396,0.8576302276067631,2,1357.8223085078662,1577.7454959933623,,
